Name,Time,X,Y,Z,Value
Waypoint 0,Wed Jun 18 09:16:48 2025,-1.3679728432015288,-1.1062816599919534,-0.43601033146317286,Placeholder
Waypoint 1,Wed Jun 18 09:16:52 2025,-1.3679754358661667,-1.1063196863559823,-0.4359830743983923,Placeholder
Waypoint 2,Wed Jun 18 09:16:54 2025,0.6417916341010388,-1.132188054254046,-0.433933174001599,Placeholder
Waypoint 3,Wed Jun 18 09:16:56 2025,2.698061203103714,-1.0937913556122476,-0.45364966573348187,Placeholder
